(596, 527)
(91848, 527)
(595, 528)
(161809, 682)
(161810, 683)
(66486, 684)
(136402, 684)
(161811, 684)
(25916, 1219)
(136493, 1219)
(169593, 1219)
(136492, 1220)
(66859, 1544)
(12116, 1545)
(66545, 1545)
(66860, 1545)
(12117, 1546)
(66861, 1546)
(12118, 1547)
(45247, 1590)
(106759, 1590)
(106758, 1591)
(32505, 1655)
(32504, 1656)
(15882, 1873)
(15881, 1874)
(21769, 1874)
(198257, 1874)
(15880, 1875)
(187, 2015)
(126763, 2015)
(197373, 2015)
(186, 2016)
(99631, 2611)
(99632, 2612)
(122498, 2635)
(122497, 2636)
(178807, 2636)
(122496, 2637)
(128930, 2637)
(178806, 2637)
(122495, 2638)
(122494, 2639)
(92576, 2913)
(94097, 2913)
(117245, 2913)
(94096, 2914)
(43223, 3087)
(43224, 3088)
(10748, 3153)
(10749, 3154)
(10750, 3155)
(42069, 3155)
(110535, 3155)
(110536, 3156)
(11116, 3405)
(169592, 3444)
(25916, 3445)
(136493, 3445)
(169593, 3445)
(37472, 3547)
(16664, 3548)
(37471, 3548)
(16663, 3549)
(37470, 3549)
(37469, 3550)
(595, 3701)
(596, 3702)
(91848, 3702)
(597, 3703)
(91849, 3703)
(598, 3704)
(599, 3705)
(9855, 3796)
(9856, 3797)
(9857, 3798)
(21587, 3798)
(9858, 3799)
(21588, 3799)
(155040, 3799)
(32448, 4076)
(104296, 4076)
(137502, 4076)
(104297, 4077)
(126761, 4607)
(126762, 4608)
(187, 4609)
(126763, 4609)
(197373, 4609)
(15881, 4651)
(21769, 4651)
(198257, 4651)
(45247, 4755)
(106759, 4755)
(67046, 5192)
(131006, 5192)
(131860, 5192)
(67047, 5193)
(31398, 5553)
(31397, 5554)
(31396, 5555)
(144753, 5555)
(144752, 5556)
(49, 5714)
(153114, 5714)
(50, 5715)
(153115, 5715)
(51, 5716)
(153116, 5716)
(52, 5717)
(153117, 5717)
(136401, 6370)
(66486, 6371)
(136402, 6371)
(161811, 6371)
(42311, 6628)
(103686, 6628)
(187616, 6628)
(42310, 6629)
(103685, 6629)
(53272, 6656)
(58636, 6656)
(68809, 6656)
(9858, 6727)
(21588, 6727)
(155040, 6727)
(21589, 6728)
(15881, 6836)
(21769, 6836)
(198257, 6836)
(15880, 6837)
(182, 6934)
(183, 6935)
(184, 6936)
(185, 6937)
(186, 6938)
(187, 6939)
(126763, 6939)
(197373, 6939)
(197374, 6940)
(16312, 7389)
(16311, 7390)
(16310, 7391)
(16309, 7392)
(122496, 7497)
(128930, 7497)
(178806, 7497)
(128931, 7498)
(128932, 7499)
(128933, 7500)
(128934, 7501)
(121681, 7586)
(121682, 7587)
(106240, 7588)
(121683, 7588)
(124746, 7588)
(106241, 7589)
(46860, 7762)
(92082, 7762)
(16665, 7800)
(16664, 7801)
(37471, 7801)
(16663, 7802)
(37470, 7802)
(37469, 7803)
(150152, 7826)
(196817, 7826)
(150151, 7827)
(46860, 8243)
(92082, 8243)
(100928, 8295)
(39480, 8296)
(74706, 8296)
(100929, 8296)
(100930, 8297)
(100931, 8298)
(187615, 8601)
(42311, 8602)
(103686, 8602)
(187616, 8602)
(103687, 8603)
(187617, 8603)
(187618, 8604)
(51633, 8692)
(100694, 8740)
(174916, 8740)
(100695, 8741)
(129008, 8741)
(174917, 8741)
(129009, 8742)
(129010, 8743)
(58634, 9060)
(58635, 9061)
(53272, 9062)
(58636, 9062)
(68809, 9062)
(120384, 9505)
(120385, 9506)
(12118, 9812)
(12117, 9813)
(66861, 9813)
(12116, 9814)
(66545, 9814)
(66860, 9814)
(66859, 9815)
(166593, 10274)
(134577, 10275)
(166592, 10275)
(94098, 10965)
(92576, 10966)
(94097, 10966)
(117245, 10966)
(117244, 10967)
(115264, 11067)
(170328, 11067)
(137499, 11094)
(137500, 11095)
(104295, 11096)
(137501, 11096)
(32448, 11097)
(104296, 11097)
(137502, 11097)
(32449, 11098)
(67046, 11593)
(131006, 11593)
(131860, 11593)
(128175, 11634)
(122496, 12312)
(128930, 12312)
(178806, 12312)
(122497, 12313)
(178807, 12313)
(178808, 12314)
(99059, 12547)
(99058, 12548)
(185380, 12584)
(137504, 12623)
(137503, 12624)
(32448, 12625)
(104296, 12625)
(137502, 12625)
(104295, 12626)
(137501, 12626)
(131883, 12963)
(89548, 12964)
(131882, 12964)
(161810, 13092)
(66486, 13093)
(136402, 13093)
(161811, 13093)
